Week	URL	Assignees	Status
Project Proposal	https://github.com/alcantaraMinam1260/hardware-project/issues/1	alcantaraMinam1260	Done
Hardware Selection	https://github.com/alcantaraMinam1260/hardware-project/issues/2	alcantaraMinam1260	Done
Mobile Project Report	https://github.com/alcantaraMinam1260/hardware-project/issues/3	alcantaraMinam1260	Done
3d Printing Tutorial	https://github.com/alcantaraMinam1260/hardware-project/issues/4	alcantaraMinam1260	Done
Proof Of Purchase/KiCad	https://github.com/alcantaraMinam1260/hardware-project/issues/5	alcantaraMinam1260	Done
Mobile App Presentation	https://github.com/alcantaraMinam1260/hardware-project/issues/6	alcantaraMinam1260	Done
Reading Week		alcantaraMinam1260	Done
Soldering/Laser Cutting		alcantaraMinam1260	Done
PCB Assembly		alcantaraMinam1260	Done
Coding		alcantaraMinam1260	Done
Mobile App integration with Sensors		alcantaraMinam1260	Todo
Testing		alcantaraMinam1260	Todo
Demonstration		alcantaraMinam1260	Todo
Project Presentation		alcantaraMinam1260	Todo
Group Final Presentation		alcantaraMinam1260	Todo
Capstone Presentation		alcantaraMinam1260	Todo
